Rank ,Company ,Total revenue (US$ billion) ,Country,ISO2
1,AT&T ,$163.8 B ,United States United States,US
2,Verizon Communications ,$131.8 B ,United States United States,US
3,Tata Group ,$107.8 B ,India India,IN
4,Nippon Telegraph & Tel ,$94.2 B ,Japan Japan,JP
5,Deutsche Telekom ,$76.8 B ,Germany Germany,DE
6,Softbank ,$74.7 B ,Japan Japan,JP
7,Telefónica ,$74.4 B ,Spain Spain,ES
8,Jio ,$67 B ,India India,IN
9,Vodafone ,$64.5 B ,United Kingdom United Kingdom,UK
10,América Móvil ,$56.3 B ,Mexico Mexico,MX
11,China Telecom ,$52.7 B ,China China,CN
12,Orange ,$44.6 B ,France France,FR
13,China Unicom ,$43 B ,China China,CN
14,KDDI ,$37.3 B ,Japan Japan,JP
15,BT Group ,$27.3 B ,United Kingdom United Kingdom,
16,CenturyLink ,$24 B ,United States United States[2],
17,Telecom Italia ,$21.9 B ,Italy Italy,
18,Telstra ,$20.2 B ,Australia Australia,
19,Rogers Communications ,$19.7 B ,Canada Canada,
20,BCE ,$16.8 B ,Canada Canada,
21,Telenor ,$15.6 B ,Norway Norway,
22,SK Telecom ,$15.1 B ,South Korea South Korea,
23,Bharti Airtel ,$14.7 B ,India India,
24,Etisalat ,$14.1 B ,United Arab Emirates United Arab Emirates,
25,Saudi Telecom ,$13.6 B ,Saudi Arabia Saudi Arabia,
26,China Communications Services ,$12.9 B ,China China,
27,SingTel ,$12.5 B ,Singapore Singapore,
28,Swisscom ,$12.1 B ,Switzerland Switzerland,
29,Vivendi ,$11.9 B ,France France,
30,Mobile TeleSystems ,$11.6 B ,Russia Russia,
31,Telia Company ,$11.5 B ,Sweden Sweden,
32,MTN Group ,$11.5 B ,South Africa South Africa,
33,KT Corporation ,$10.3 B ,South Korea South Korea,
34,VimpelCom ,$9.8 B ,Netherlands Netherlands,
35,Telus ,$9.7 B ,Canada Canada,
36,LG Uplus ,$9.5 B ,South Korea South Korea,
37,Ooredoo ,$8.8 B ,Qatar Qatar,
38,Oi ,$8.2 B ,Brazil Brazil,
39,KPN ,$7.9 B ,Netherlands Netherlands,
40,Telkom Indonesia ,$7.8 B ,Indonesia Indonesia,
41,Chunghwa Telecom ,$7.3 B ,Taiwan Taiwan,
42,Optus ,$6.7 B ,Australia Australia,
43,Millicom ,$6.7 B ,Luxembourg Luxembourg,
44,Belgacom ,$6.6 B ,Belgium Belgium,
45,Frontier Communications ,$5.6 B ,United States United States,
46,Vodafone Idea Limited[3] ,$5.2 B [4] ,India India,
47,Turk Telekom ,$5.2 B ,Turkey Turkey,
48,MegaFon ,$5.1 B ,Russia Russia,
49,Turkcell ,$4.7 B ,Turkey Turkey,
50,Advanced Info Service ,$4.5 B ,Thailand Thailand,
51,United Internet ,$4.1 B ,Germany Germany,
52,OTE ,$3.9 B ,Greece Greece,
53,PLDT ,$3.8 B ,Philippines Philippines,
54,Zain ,$3.8 B ,Kuwait Kuwait,
55,Crown Castle International ,$3.7 B ,United States United States,
56,Taiwan Mobile ,$3.7 B ,Taiwan Taiwan,
57,PTCL ,$3.4 B ,Pakistan Pakistan,
58,Safaricom ,$2.3 B ,Kenya Kenya,
59,Maxis Communications ,$2.1 B ,Malaysia Malaysia,
60,NII Holdings ,$1.7 B ,United States United States,
